32 55
F 22 13
F 20 1
F 52 3
F 13 4
F 34 26
F 1 24
F 19 8
F 33 18
F 8 17
F 48 11
F 4 15
F 35 29
F 38 28
F 27 19
F 9 12
F 43 21
F 14 23
F 2 8
F 0 25
F 33 28
F 17 20
F 30 27
F 47 9
F 12 15
F 16 31
F 20 0
F 25 21
F 50 23
W 44 5
W 19 20
W 32 19
W 5 9
W 26 14
W 36 29
W 5 10
W 32 30
W 11 19
W 54 27
W 35 28
W 23 25
W 54 30
W 38 5
W 17 8
W 15 13
W 7 20
W 24 6
W 25 0
W 6 26
W 29 19
W 27 11
W 6 12
W 20 20
W 17 24
W 1 16
W 15 21
W 31 29
W 39 27
W 15 14
W 20 27
W 32 14
W 42 30
W 9 19
W 15 12
W 21 31
S 21 11
S 1 3
S 18 26
S 16 6
S 11 27
S 35 30
S 46 15
S 51 18
S 46 6
S 29 6
S 1 4
S 12 31
S 2 2
S 32 10
S 17 29
S 1 2
S 35 2
S 38 25
S 1 0
S 4 19
S 9 13
S 20 9
S 42 7
S 46 24
S 4 27
S 23 23
S 17 25
S 1 5
S 39 16
H 7 0
A 27 23
A 1 13
A 32 31
A 7 24
A 1 28
A 37 21
A 6 10
A 35 13
A 47 8
A 40 23
A 47 27
A 2 19
A 15 5
A 4 2
A 3 26
A 52 19
A 42 29
A 47 30
A 2 11
A 7 3
A 11 21
A 50 1
A 1 14
A 14 12
A 41 6
A 50 21
T 43 28
T 48 9
T 39 9
T 16 11
T 43 26
T 48 15
T 38 27
T 12 16
T 17 28
T 29 21
T 11 17
T 3 9
T 54 25
T 10 18
T 44 15
T 33 14
T 44 22
T 19 16
T 39 26
T 3 28
T 36 0
T 44 7
T 2 16
T 36 25
T 34 10
T 19 5
T 11 0
T 34 19
T 18 21
x 2 14
x 47 5
x 33 7
x 52 5
x 30 9
x 29 1
x 18 9
x 49 14
x 48 31
x 38 21
x 40 28
x 53 2
x 7 28
x 37 9
x 53 9
x 11 16
x 54 13
x 46 19
x 52 26
x 5 6
x 7 4
x 39 7
x 28 2
x 0 6
x 18 6
x 11 29
x 49 26
x 21 20
x 49 9
x 8 2
x 54 8
s 50 9
s 50 9
s 8 8
s 8 8
s 7 31
s 7 31
s 14 27
s 14 27
s 10 9
s 10 9
s 18 12
s 18 12
s 3 4
s 3 4
s 48 23
s 48 23
s 41 25
s 41 25
s 39 18
s 39 18
s 42 16
s 42 16
s 14 29
s 14 29
s 51 14
s 51 14
s 28 29
s 28 29
s 27 9
s 27 9
s 15 2
s 15 2
s 29 0
s 29 0
s 4 12
s 4 12
s 22 6
s 22 6
s 14 25
s 14 25
s 7 7
s 7 7
s 54 11
s 54 11
s 21 29
s 21 29
s 48 1
s 48 1
n 26 7
n 27 24
n 9 17
n 36 4
n 42 28
n 19 11
n 45 9
n 37 6
n 7 10
n 49 19
n 48 10
n 0 30
n 50 26
n 23 10
n 36 8
n 36 7
n 50 13
n 41 27
n 2 27
n 53 17
n 47 26
n 28 31
n 8 26
n 51 2
n 18 29
n 14 3
n 19 19
n 31 27
n 46 1
n 27 3
n 3 10
n 1 21
n 6 15
n 24 27
n 45 14
n 22 24
n 23 17
g 19 7
g 13 26
g 11 2
g 21 12
g 42 18
g 9 25
g 24 30
g 43 9
g 26 29
g 46 17
g 17 4
g 19 22
g 13 19
g 29 31
g 38 20
g 28 17
g 50 25
g 15 4
g 21 25
g 27 25
g 1 11
g 44 14
g 37 26
g 10 21
g 39 29
g 21 23
g 29 4
d 46 30
d 0 9
d 37 7
d 47 12
d 25 14
d 36 18
d 32 26
d 13 24
d 50 29
d 15 9
d 24 26
d 25 25
d 10 7
d 1 31
d 43 25
d 22 23
d 14 19
d 45 26
d 45 8
d 24 22
d 42 12
d 27 26
d 21 2
d 22 21
d 29 25
d 21 18
F 21 1
W 5 8
W 19 21
S 8 10
S 0 3
S 8 11
x 30 1
x 50 14
x 7 27
x 53 8
s 50 10
s 50 10
s 7 8
s 7 8
s 14 28
s 14 28
s 9 9
s 9 9
s 6 7
s 6 7
n 45 10
n 50 27
n 22 10
n 53 18
n 28 30
n 46 14
g 43 18
g 44 9
g 13 20
g 39 20
g 51 25
g 14 4
g 20 25
g 43 14
g 39 28
d 25 13
d 36 19
d 31 26
d 33 26
d 14 24
d 49 29
d 15 8
d 23 26
d 24 25
d 45 25
d 26 26
d 29 26
